LABEL                          LABEL                          USER           PID  PPID     VSZ    RSS WCHAN          ADDR S NAME                       
u:r:kernel:s0                  u:r:kernel:s0                  root           199     2       0      0 irq_thread        0 S [irq/82-arm-smmu-context-fault]
u:r:kernel:s0                  u:r:kernel:s0                  root           200     2       0      0 scsi_error_handler 0 S [scsi_eh_0]
u:r:kernel:s0                  u:r:kernel:s0                  root           201     2       0      0 rescuer_thread    0 I [scsi_tmf_0]
u:r:kernel:s0                  u:r:kernel:s0                  root           202     2       0      0 kthread_worker_fn 0 S [qrtr_ns]
u:r:kernel:s0                  u:r:kernel:s0                  root           203     2       0      0 rescuer_thread    0 I [qc_ufs_qos_swq]
u:r:kernel:s0                  u:r:kernel:s0                  root           204     2       0      0 rescuer_thread    0 I [ufs_eh_wq_0]
u:r:kernel:s0                  u:r:kernel:s0                  root           205     2       0      0 rescuer_thread    0 I [ufs_clk_gating_]
u:r:kernel:s0                  u:r:kernel:s0                  root           209     2       0      0 issue_checkpoint_thread 0 S [f2fs_ckpt-259:9]
u:r:kernel:s0                  u:r:kernel:s0                  root           210     2       0      0 issue_discard_thread 0 S [f2fs_discard-259:9]
u:r:kernel:s0                  u:r:kernel:s0                  root           211     2       0      0 gc_thread_func    0 S [f2fs_gc-259:9]
u:r:kernel:s0                  u:r:kernel:s0                  root           212     2       0      0 rescuer_thread    0 I [kdmflush/254:0]
u:r:kernel:s0                  u:r:kernel:s0                  root           213     2       0      0 rescuer_thread    0 I [kdmflush/254:1]
u:r:kernel:s0                  u:r:kernel:s0                  root           214     2       0      0 rescuer_thread    0 I [kdmflush/254:2]
u:r:kernel:s0                  u:r:kernel:s0                  root           215     2       0      0 rescuer_thread    0 I [kdmflush/254:3]
u:r:kernel:s0                  u:r:kernel:s0                  root           216     2       0      0 rescuer_thread    0 I [kdmflush/254:4]
u:r:kernel:s0                  u:r:kernel:s0                  root           217     2       0      0 rescuer_thread    0 I [kdmflush/254:5]
u:r:kernel:s0                  u:r:kernel:s0                  root           218     2       0      0 rescuer_thread    0 I [kdmflush/254:6]
u:r:kernel:s0                  u:r:kernel:s0                  root           219     2       0      0 rescuer_thread    0 I [kdmflush/254:7]
u:r:kernel:s0                  u:r:kernel:s0                  root           220     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           221     2       0      0 rescuer_thread    0 I [kdmflush/254:8]
u:r:kernel:s0                  u:r:kernel:s0                  root           222     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           223     2       0      0 rescuer_thread    0 I [kdmflush/254:9]
u:r:kernel:s0                  u:r:kernel:s0                  root           224     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           225     2       0      0 rescuer_thread    0 I [kdmflush/254:10]
u:r:kernel:s0                  u:r:kernel:s0                  root           226     2       0      0 rescuer_thread    0 I [kverityd]
u:r:kernel:s0                  u:r:kernel:s0                  root           227     2       0      0 rescuer_thread    0 I [kdmflush/254:11]
u:r:kernel:s0                  u:r:kernel:s0                  root           228     2       0      0 rescuer_thread    0 I [kverityd]
